sample_id,taxon_id,density,biomass,incidence
DEMO_summer_01,Sinanodonta_sp.,3,11.4295,1
DEMO_summer_01,Pseudovivipara_sp.,1,3.7126,1
DEMO_summer_01,Glyptotendipes_sp.,0,0.0,0
DEMO_summer_01,Lamprotula_sp.,8,23.7572,1
DEMO_summer_01,Rivularia_sp.,0,0.0,0
DEMO_summer_01,Dicrotendipes_sp.,18,68.5618,1
DEMO_summer_01,Semisulcospira_sp.,0,0.0,0
DEMO_summer_01,Sinotaia_sp.,12,18.2719,1
DEMO_summer_01,Benthalia_sp.,0,0.0,0
DEMO_summer_01,Pomacea_sp.,0,0.0,0
DEMO_summer_01,Corbicula_sp.,0,0.0,0
DEMO_summer_01,Limnoperna_sp.,0,0.0,0
DEMO_summer_01,Procladius_sp.,0,0.0,0
DEMO_summer_01,Chironomus_sp.,0,0.0,0
DEMO_summer_01,Cryptochironomus_sp.,0,0.0,0
DEMO_summer_01,Limnodrilus_sp.,0,0.0,0
DEMO_summer_01,Lanceolaria_sp.,0,0.0,0
DEMO_summer_01,Whitmania_sp.,0,0.0,0
DEMO_summer_01,Cryptotendipes_sp.,13,5.1079,1
DEMO_summer_01,Rheotanytarsus_sp.,0,0.0,0
DEMO_summer_01,Polypedilum_sp.,0,0.0,0
DEMO_summer_01,Hemiclepsis_sp.,0,0.0,0
DEMO_summer_01,Macrobrachium_sp.,0,0.0,0
DEMO_summer_01,Microchironomus_sp.,0,0.0,0
DEMO_summer_01,Cricotopus_sp.,17,43.5382,1
DEMO_summer_01,Baetis_sp.,0,0.0,0
DEMO_summer_01,Branchiura_sp.,7,3.7874,1
DEMO_summer_01,Tanytarsus_sp.,0,0.0,0
DEMO_summer_01,Ablabesmyia_sp.,0,0.0,0
DEMO_summer_01,Ictinogomphus_sp.,28,7.1261,1
DEMO_summer_01,Palaemon_sp.,0,0.0,0
DEMO_summer_01,Nodularia_sp.,0,0.0,0
DEMO_summer_01,Cuneopsis_sp.,0,0.0,0
DEMO_summer_01,Micropsectra_sp.,2,5.4368,1
DEMO_summer_01,Acuticosta_sp.,25,54.4248,1
DEMO_summer_01,Rhyacodrilus_sp.,0,0.0,0
DEMO_summer_01,Cipangopaludina_sp.,0,0.0,0
DEMO_summer_02,Sinanodonta_sp.,1,2.4294,1
DEMO_summer_02,Pseudovivipara_sp.,1,2.7584,1
DEMO_summer_02,Glyptotendipes_sp.,0,0.0,0
DEMO_summer_02,Lamprotula_sp.,0,0.0,0
DEMO_summer_02,Rivularia_sp.,16,26.300800000000002,1
DEMO_summer_02,Dicrotendipes_sp.,21,35.162099999999995,1
DEMO_summer_02,Semisulcospira_sp.,0,0.0,0
DEMO_summer_02,Sinotaia_sp.,0,0.0,0
DEMO_summer_02,Benthalia_sp.,0,0.0,0
DEMO_summer_02,Pomacea_sp.,4,0.3812,1
DEMO_summer_02,Corbicula_sp.,0,0.0,0
DEMO_summer_02,Limnoperna_sp.,15,6.9362,1
DEMO_summer_02,Procladius_sp.,0,0.0,0
DEMO_summer_02,Chironomus_sp.,0,0.0,0
DEMO_summer_02,Cryptochironomus_sp.,0,0.0,0
DEMO_summer_02,Limnodrilus_sp.,10,14.9043,1
DEMO_summer_02,Lanceolaria_sp.,0,0.0,0
DEMO_summer_02,Whitmania_sp.,0,0.0,0
DEMO_summer_02,Cryptotendipes_sp.,0,0.0,0
DEMO_summer_02,Rheotanytarsus_sp.,0,0.0,0
DEMO_summer_02,Polypedilum_sp.,0,0.0,0
DEMO_summer_02,Hemiclepsis_sp.,0,0.0,0
DEMO_summer_02,Macrobrachium_sp.,0,0.0,0
DEMO_summer_02,Microchironomus_sp.,0,0.0,0
DEMO_summer_02,Cricotopus_sp.,0,0.0,0
DEMO_summer_02,Baetis_sp.,3,1.5993,1
DEMO_summer_02,Branchiura_sp.,0,0.0,0
DEMO_summer_02,Tanytarsus_sp.,22,28.358,1
DEMO_summer_02,Ablabesmyia_sp.,0,0.0,0
DEMO_summer_02,Ictinogomphus_sp.,28,75.9111,1
DEMO_summer_02,Palaemon_sp.,0,0.0,0
DEMO_summer_02,Nodularia_sp.,0,0.0,0
DEMO_summer_02,Cuneopsis_sp.,0,0.0,0
DEMO_summer_02,Micropsectra_sp.,0,0.0,0
DEMO_summer_02,Acuticosta_sp.,0,0.0,0
DEMO_summer_02,Rhyacodrilus_sp.,0,0.0,0
DEMO_summer_02,Cipangopaludina_sp.,0,0.0,0
DEMO_summer_03,Sinanodonta_sp.,26,18.9294,1
DEMO_summer_03,Pseudovivipara_sp.,23,55.9294,1
DEMO_summer_03,Glyptotendipes_sp.,0,0.0,0
DEMO_summer_03,Lamprotula_sp.,23,63.7071,1
DEMO_summer_03,Rivularia_sp.,0,0.0,0
DEMO_summer_03,Dicrotendipes_sp.,28,68.6087,1
DEMO_summer_03,Semisulcospira_sp.,27,104.5812,1
DEMO_summer_03,Sinotaia_sp.,0,0.0,0
DEMO_summer_03,Benthalia_sp.,0,0.0,0
DEMO_summer_03,Pomacea_sp.,0,0.0,0
DEMO_summer_03,Corbicula_sp.,24,60.5489,1
DEMO_summer_03,Limnoperna_sp.,0,0.0,0
DEMO_summer_03,Procladius_sp.,29,113.7374,1
DEMO_summer_03,Chironomus_sp.,2,5.8732,1
DEMO_summer_03,Cryptochironomus_sp.,0,0.0,0
DEMO_summer_03,Limnodrilus_sp.,22,75.1338,1
DEMO_summer_03,Lanceolaria_sp.,0,0.0,0
DEMO_summer_03,Whitmania_sp.,22,35.7237,1
DEMO_summer_03,Cryptotendipes_sp.,0,0.0,0
DEMO_summer_03,Rheotanytarsus_sp.,0,0.0,0
DEMO_summer_03,Polypedilum_sp.,0,0.0,0
DEMO_summer_03,Hemiclepsis_sp.,14,54.3674,1
DEMO_summer_03,Macrobrachium_sp.,0,0.0,0
DEMO_summer_03,Microchironomus_sp.,20,19.9405,1
DEMO_summer_03,Cricotopus_sp.,0,0.0,0
DEMO_summer_03,Baetis_sp.,11,43.6961,1
DEMO_summer_03,Branchiura_sp.,17,31.8297,1
DEMO_summer_03,Tanytarsus_sp.,0,0.0,0
DEMO_summer_03,Ablabesmyia_sp.,0,0.0,0
DEMO_summer_03,Ictinogomphus_sp.,0,0.0,0
DEMO_summer_03,Palaemon_sp.,0,0.0,0
DEMO_summer_03,Nodularia_sp.,0,0.0,0
DEMO_summer_03,Cuneopsis_sp.,0,0.0,0
DEMO_summer_03,Micropsectra_sp.,24,84.0879,1
DEMO_summer_03,Acuticosta_sp.,11,1.1732,1
DEMO_summer_03,Rhyacodrilus_sp.,0,0.0,0
DEMO_summer_03,Cipangopaludina_sp.,0,0.0,0
DEMO_summer_04,Sinanodonta_sp.,1,2.7182,1
DEMO_summer_04,Pseudovivipara_sp.,1,3.16,1
DEMO_summer_04,Glyptotendipes_sp.,13,38.2521,1
DEMO_summer_04,Lamprotula_sp.,0,0.0,0
DEMO_summer_04,Rivularia_sp.,0,0.0,0
DEMO_summer_04,Dicrotendipes_sp.,0,0.0,0
DEMO_summer_04,Semisulcospira_sp.,0,0.0,0
DEMO_summer_04,Sinotaia_sp.,0,0.0,0
DEMO_summer_04,Benthalia_sp.,0,0.0,0
DEMO_summer_04,Pomacea_sp.,0,0.0,0
DEMO_summer_04,Corbicula_sp.,0,0.0,0
DEMO_summer_04,Limnoperna_sp.,0,0.0,0
DEMO_summer_04,Procladius_sp.,0,0.0,0
DEMO_summer_04,Chironomus_sp.,0,0.0,0
DEMO_summer_04,Cryptochironomus_sp.,0,0.0,0
DEMO_summer_04,Limnodrilus_sp.,0,0.0,0
DEMO_summer_04,Lanceolaria_sp.,7,7.6301,1
DEMO_summer_04,Whitmania_sp.,0,0.0,0
DEMO_summer_04,Cryptotendipes_sp.,8,8.863,1
DEMO_summer_04,Rheotanytarsus_sp.,0,0.0,0
DEMO_summer_04,Polypedilum_sp.,0,0.0,0
DEMO_summer_04,Hemiclepsis_sp.,0,0.0,0
DEMO_summer_04,Macrobrachium_sp.,0,0.0,0
DEMO_summer_04,Microchironomus_sp.,0,0.0,0
DEMO_summer_04,Cricotopus_sp.,0,0.0,0
DEMO_summer_04,Baetis_sp.,0,0.0,0
DEMO_summer_04,Branchiura_sp.,0,0.0,0
DEMO_summer_04,Tanytarsus_sp.,0,0.0,0
DEMO_summer_04,Ablabesmyia_sp.,0,0.0,0
DEMO_summer_04,Ictinogomphus_sp.,0,0.0,0
DEMO_summer_04,Palaemon_sp.,0,0.0,0
DEMO_summer_04,Nodularia_sp.,0,0.0,0
DEMO_summer_04,Cuneopsis_sp.,0,0.0,0
DEMO_summer_04,Micropsectra_sp.,0,0.0,0
DEMO_summer_04,Acuticosta_sp.,0,0.0,0
DEMO_summer_04,Rhyacodrilus_sp.,0,0.0,0
DEMO_summer_04,Cipangopaludina_sp.,0,0.0,0
DEMO_summer_05,Sinanodonta_sp.,5,9.5766,1
DEMO_summer_05,Pseudovivipara_sp.,1,3.1054,1
DEMO_summer_05,Glyptotendipes_sp.,0,0.0,0
DEMO_summer_05,Lamprotula_sp.,0,0.0,0
DEMO_summer_05,Rivularia_sp.,0,0.0,0
DEMO_summer_05,Dicrotendipes_sp.,0,0.0,0
DEMO_summer_05,Semisulcospira_sp.,3,5.3508,1
DEMO_summer_05,Sinotaia_sp.,0,0.0,0
DEMO_summer_05,Benthalia_sp.,0,0.0,0
DEMO_summer_05,Pomacea_sp.,0,0.0,0
DEMO_summer_05,Corbicula_sp.,6,12.4439,1
DEMO_summer_05,Limnoperna_sp.,0,0.0,0
DEMO_summer_05,Procladius_sp.,0,0.0,0
DEMO_summer_05,Chironomus_sp.,0,0.0,0
DEMO_summer_05,Cryptochironomus_sp.,0,0.0,0
DEMO_summer_05,Limnodrilus_sp.,0,0.0,0
DEMO_summer_05,Lanceolaria_sp.,0,0.0,0
DEMO_summer_05,Whitmania_sp.,0,0.0,0
DEMO_summer_05,Cryptotendipes_sp.,0,0.0,0
DEMO_summer_05,Rheotanytarsus_sp.,0,0.0,0
DEMO_summer_05,Polypedilum_sp.,0,0.0,0
DEMO_summer_05,Hemiclepsis_sp.,0,0.0,0
DEMO_summer_05,Macrobrachium_sp.,0,0.0,0
DEMO_summer_05,Microchironomus_sp.,0,0.0,0
DEMO_summer_05,Cricotopus_sp.,0,0.0,0
DEMO_summer_05,Baetis_sp.,0,0.0,0
DEMO_summer_05,Branchiura_sp.,5,15.8769,1
DEMO_summer_05,Tanytarsus_sp.,0,0.0,0
DEMO_summer_05,Ablabesmyia_sp.,0,0.0,0
DEMO_summer_05,Ictinogomphus_sp.,0,0.0,0
DEMO_summer_05,Palaemon_sp.,0,0.0,0
DEMO_summer_05,Nodularia_sp.,0,0.0,0
DEMO_summer_05,Cuneopsis_sp.,0,0.0,0
DEMO_summer_05,Micropsectra_sp.,9,13.4328,1
DEMO_summer_05,Acuticosta_sp.,0,0.0,0
DEMO_summer_05,Rhyacodrilus_sp.,0,0.0,0
DEMO_summer_05,Cipangopaludina_sp.,0,0.0,0
DEMO_summer_06,Sinanodonta_sp.,3,3.441,1
DEMO_summer_06,Pseudovivipara_sp.,1,0.4556,1
DEMO_summer_06,Glyptotendipes_sp.,24,40.2544,1
DEMO_summer_06,Lamprotula_sp.,9,29.0489,1
DEMO_summer_06,Rivularia_sp.,6,5.0796,1
DEMO_summer_06,Dicrotendipes_sp.,6,21.2252,1
DEMO_summer_06,Semisulcospira_sp.,0,0.0,0
DEMO_summer_06,Sinotaia_sp.,0,0.0,0
DEMO_summer_06,Benthalia_sp.,0,0.0,0
DEMO_summer_06,Pomacea_sp.,14,23.6786,1
DEMO_summer_06,Corbicula_sp.,0,0.0,0
DEMO_summer_06,Limnoperna_sp.,17,32.0785,1
DEMO_summer_06,Procladius_sp.,0,0.0,0
DEMO_summer_06,Chironomus_sp.,0,0.0,0
DEMO_summer_06,Cryptochironomus_sp.,0,0.0,0
DEMO_summer_06,Limnodrilus_sp.,0,0.0,0
DEMO_summer_06,Lanceolaria_sp.,0,0.0,0
DEMO_summer_06,Whitmania_sp.,0,0.0,0
DEMO_summer_06,Cryptotendipes_sp.,0,0.0,0
DEMO_summer_06,Rheotanytarsus_sp.,0,0.0,0
DEMO_summer_06,Polypedilum_sp.,0,0.0,0
DEMO_summer_06,Hemiclepsis_sp.,0,0.0,0
DEMO_summer_06,Macrobrachium_sp.,0,0.0,0
DEMO_summer_06,Microchironomus_sp.,0,0.0,0
DEMO_summer_06,Cricotopus_sp.,0,0.0,0
DEMO_summer_06,Baetis_sp.,0,0.0,0
DEMO_summer_06,Branchiura_sp.,0,0.0,0
DEMO_summer_06,Tanytarsus_sp.,0,0.0,0
DEMO_summer_06,Ablabesmyia_sp.,0,0.0,0
DEMO_summer_06,Ictinogomphus_sp.,0,0.0,0
DEMO_summer_06,Palaemon_sp.,0,0.0,0
DEMO_summer_06,Nodularia_sp.,0,0.0,0
DEMO_summer_06,Cuneopsis_sp.,0,0.0,0
DEMO_summer_06,Micropsectra_sp.,0,0.0,0
DEMO_summer_06,Acuticosta_sp.,0,0.0,0
DEMO_summer_06,Rhyacodrilus_sp.,0,0.0,0
DEMO_summer_06,Cipangopaludina_sp.,0,0.0,0
DEMO_summer_07,Sinanodonta_sp.,18,21.685000000000002,1
DEMO_summer_07,Pseudovivipara_sp.,1,2.5543,1
DEMO_summer_07,Glyptotendipes_sp.,0,0.0,0
DEMO_summer_07,Lamprotula_sp.,0,0.0,0
DEMO_summer_07,Rivularia_sp.,0,0.0,0
DEMO_summer_07,Dicrotendipes_sp.,0,0.0,0
DEMO_summer_07,Semisulcospira_sp.,17,50.0611,1
DEMO_summer_07,Sinotaia_sp.,0,0.0,0
DEMO_summer_07,Benthalia_sp.,0,0.0,0
DEMO_summer_07,Pomacea_sp.,0,0.0,0
DEMO_summer_07,Corbicula_sp.,2,6.1344,1
DEMO_summer_07,Limnoperna_sp.,0,0.0,0
